"filename", "language", "TypeScript", "TypeScript React", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/Homepage/style.ts", "TypeScript", 192, 0, 0, 0, 0, 0, 0, 33, 225
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/LoginRegisterPage/LoginRegisterPage.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 7, 59
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/LoginRegisterPage/__tests__/LoginRegisterPage.test.tsx", "TypeScript React", 0, 49, 0, 0, 0, 0, 0, 9, 58
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/LoginRegisterPage/styled.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 17, 116
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/OrdersPage/OrdersPage.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/OrdersPage/style.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/PDP/PDP.tsx", "TypeScript React", 0, 106, 0, 0, 0, 0, 0, 11, 117
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/PDP/style.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 10, 22, 118
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/PLP/PLP.tsx", "TypeScript React", 0, 90, 0, 0, 0, 0, 0, 5, 95
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/PLP/style.ts", "TypeScript", 177, 0, 0, 0, 0, 0, 0, 19, 196
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/ProfilePage/ProfilePage.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/pages/ProfilePage/style.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/redux/store.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/utils/cookies.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/utils/queryParams.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 2, 6
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 1, 22
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/tsconfig.node.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/vercel.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/goncalovieira/Desktop/Dealit/dealit-frontend/vite.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 2, 20
"Total", "-", 2409, 2867, 93, 4775, 21, 22, 85, 808, 11080
